Id,Title,Main Channel ID,Main Channel Title,HardTag1,HardTag2,HardTag3,US PScore,Dead,
UC7kaw8NXcqb7jdRsRIHaswQ,The Fowler Show,,,,,,,FALSE,
UCWW3gYCvKS412p7o6qSK5gg,#WeThePeople 24/7 Patriots' Soapbox Stream,,,,,,,FALSE,
UCHqC-yWZ1kri4YzwRSt6RGQ,Right Side Broadcasting Network,,,,,,,FALSE,
UCCT8a7d6S6RJUivBgNRsiYg,Three Arrows,,,,,,,FALSE,
UCla6APLHX6W3FeNLc8PYuvg,Lauren Southern,,,AIN,ManoelAltLite,,,FALSE,
UCViO5gRp5Boa6QslAo-gPAQ,Rational Disconnect,,,,,,,FALSE,
UCT5jxI_OYY2r--TjAGXD03A,Peter Coffin,,,,,,,FALSE,
UCaN8DZdc8EHo5y1LsQWMiig,Big Joel,,,,,,,FALSE,
UCFEmOPY04flXH-QpMMAGeJA,BadMouseProductions,,,,,,,FALSE,
UCidbCSNfzJXScnt8LWtwrhA,DemocraticSocialist01,,,,,,,FALSE,
